time,seconds_elapsed,y,z,x
1702338904400771600,210.237771484375,-28,46,-38
1702338904501898500,210.3388984375,-28,46,-38
1702338904602103000,210.43910302734375,-28,46,-38
1702338904700866300,210.5378662109375,-28,47,-38
1702338904801983200,210.63898315429688,-28,46,-38
1702338904902095600,210.739095703125,-28,47,-38
1702338905000962800,210.837962890625,-27,47,-38
1702338905100480500,210.93748046875,-28,47,-37
1702338905200487400,211.0374873046875,-28,49,-38
1702338905301877800,211.13887768554687,-28,46,-38
1702338905400731600,211.2377316894531,-28,46,-38
1702338905502013200,211.33901318359375,-28,48,-38
1702338905602200000,211.43919995117187,-28,48,-37
1702338905700689200,211.53768920898438,-28,46,-38
1702338905801904000,211.63890405273438,-28,46,-38
1702338905902175700,211.73917578125,-28,47,-38
1702338906000938200,211.83793823242186,-28,48,-38
1702338906100484000,211.9374841308594,-28,47,-37
1702338906200545800,212.0375458984375,-28,46,-38
1702338906301773800,212.13877392578124,-28,47,-38
1702338906402161700,212.23916162109376,-28,46,-38
1702338906501674500,212.33867456054688,-28,45,-37
1702338906601806600,212.438806640625,-28,48,-38
1702338906702259200,212.53925927734375,-28,46,-38
1702338906800567000,212.63756713867187,-28,48,-38
1702338906901835500,212.73883544921875,-28,48,-37
1702338907000854300,212.83785424804688,-28,46,-38
1702338907100485400,212.9374853515625,-28,47,-38
1702338907201054200,213.03805419921875,-28,47,-38
1702338907301732000,213.13873217773437,-28,48,-38
1702338907402129700,213.23912963867187,-27,47,-38
1702338907501536000,213.33853588867188,-28,47,-38
1702338907601895400,213.4388955078125,-28,48,-38
1702338907702075400,213.53907543945311,-28,48,-39
1702338907800524500,213.63752465820312,-28,48,-38
1702338907901972700,213.73897265625,-28,47,-39
1702338908000712200,213.83771215820312,-28,48,-38
1702338908100484400,213.937484375,-28,47,-38
1702338908200484000,214.03748413085938,-28,48,-38
1702338908301910000,214.13890991210937,-28,48,-39
1702338908402042000,214.2390419921875,-27,46,-38
1702338908500564000,214.33756396484375,-28,48,-39
1702338908602009900,214.439009765625,-28,46,-38
1702338908702087200,214.53908715820313,-28,48,-38
1702338908800568600,214.63756860351563,-28,46,-38
1702338908902314800,214.73931469726563,-28,46,-38
1702338909000873200,214.83787329101563,-27,48,-38
1702338909100487200,214.93748706054689,-28,48,-38
1702338909200482000,215.03748193359374,-28,47,-38
1702338909301877500,215.13887744140624,-28,46,-37
1702338909400604700,215.23760473632814,-28,48,-38
1702338909502094600,215.33909448242187,-28,49,-38
1702338909601049900,215.4380498046875,-27,47,-38
1702338909701910300,215.53891015625,-27,46,-38
1702338909802136000,215.6391359863281,-28,47,-38
1702338909901188400,215.73818823242186,-28,47,-38
1702338910000671500,215.83767138671874,-27,48,-38
1702338910100487000,215.93748681640625,-28,47,-38
1702338910200497700,216.03749755859374,-28,47,-38
1702338910301675300,216.13867529296874,-28,47,-38
1702338910402175000,216.23917504882812,-27,47,-38
1702338910502101000,216.33910107421875,-28,47,-38
1702338910601611500,216.43861157226561,-28,48,-38
1702338910702017300,216.53901733398436,-28,45,-38
1702338910802081500,216.63908154296874,-27,48,-38
